Output,Note
<pad> not dangerous</s>,Employee was not wearing gloves and glasses. Told employee to put his gloves and glasses on and explained the reason to wear them.
<pad> dangerous</s>,Two trimmers aloft in tree within close proximity ( 4 - 5' ) to one another. One trimmer was roughly 10 - 15' higher than the other making cuts while the other was below in a direct path of debris.
<pad> dangerous</s>,crew put themselves and other motorists at risk by having truck partially on road while chipping; no signs or cones out whatsoever. Tis was stopped immediately and a safer plan to chip the brush was made.
<pad> dangerous</s>,"Correct calorie was unknown for 240V Switchgear, SE wore Face shield double layer FR and [NAME] 2 gloves while opening cabinet and trouble shooting"
<pad> dangerous</s>,RD - Started to leave then backed up about 15ft without backer. Stopped crew to remind them of their policy
<pad> dangerous</s>,"Lineman was booming down to stow the 125 bucket, missed his cradle by a little bit, landed on the step, minor crack to step mechanic had to fix it."
<pad> not dangerous</s>,Vehicle is small and not equiped to securly carry all equipment needed. Tools not organized in the back of the car
<pad> dangerous</s>,employee just got done with brake and forgot to swap his prescription glasses for his safety glasses
<pad> not dangerous</s>,[NAME] foreman did not have a clear pair of good safety glasses his were scratched really bad so forester loaned him a pair to get the job done safely.
<pad> not dangerous</s>,[NAME] failed to discuss heat stress with the high temperatures and the heat index being in the 100's. GF coached them and made mandatory breaks for the crews. [NAME] also made sure everyone was rotating in the work to keep the guys fresh.
<pad> dangerous</s>,"Some work had already commenced ( cutting the bottom of the pole off with a chain saw ) prior to conducting the job briefing. I reminded the foreman and the employee using the chainsaw, that the job briefing is meant to identify the hazards and confirm the mitigation and protection necessary for the wok. During the job briefing, the chainsaw chaps and hearing protection should have been covered and confirmed to be in place before cutting the pole. They both agreed and committed not to start work before having the job briefing first."
<pad> not dangerous</s>,[NAME] was being done in a residential yard drop zone cones were out but not 360 around the drip edge of the tree being trimmed.
<pad> not dangerous</s>,[NAME] stated that he did not have drop zone cones / flags. [NAME] had been using orange cones instead until he gets required equipment
<pad> dangerous</s>,One employee not wearing safety glasses. Communicated to them and they motioned a thumbs up and went to get a pair.
<pad> dangerous</s>,QO wasn't fully engaged. QO should have been telling climbers that their cut limbs were bouncing off service drops and hitting sheds.
<pad> not dangerous</s>,Wrong size ladder was in use. Asked [NAME] to find the correct ladder before returning to his assigned task.
<pad> dangerous</s>,"[NAME] did not talk to all Customers before opening XMFR. Stopped job and asked why and they said they forgot. Luckly only one customer was on this. Also, went over pole distance from the road to make sure we stay in the state road guidelines."
<pad> dangerous</s>,Employee had to adjust stance on fixed platform to comfortably work. Employee had to adjust stance on fixed platform to comfortably work.
<pad> dangerous</s>,Maintenance mechanic working on a backhoe under transmission lines without PPE. Corrected on the spot.
<pad> dangerous</s>,"crew was replacing a 3 phase pole in a parking lot which required cutting concrete with a partner saw, before beginning the cuts LCS grabbed hearing protection and handed out to the crew and reminded them how important it is to use correctly and to preserve their hearing"
